Search Term,Tweet Text,URL
buzzfeed,"RT @fatherquad: bruh i swear i ain't even notice any of these , i gotta go see this movie again 😨 https://t.co/9sbQa5fzSR",https://www.buzzfeed.com/erinchack/things-you-may-have-missed-in-get-out?utm_term=.higEQ8Jar#.ueb8jPGDo
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,People Turned The Proposed Replacement For Obamacare Into A Huge Meme Because Of Course https://t.co/VQaBo55c8F,http://fb.me/PZNExxKO
buzzfeed,"RT @BuzzFeed: Beyoncé may have given a nod to Adele at the “Beauty And The Beast” premiere 
https://t.co/1Tyvmuusz8 https://t.co/xah3QyBHbm",http://bzfd.it/2mQbqui
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,"@MaximeBernier Ignore @JaneLytv, sjws at buzzfeed  wont accept reality and will try to attack u with nonsense, as they did with trump",
buzzfeed,RT @pawf1067: No kittens are cute @seanspicer not questions about nat'l security.Answer it! We will not be detoured. #WireTapGate @BuzzFeed…,
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,@LeamingtonHour @LeamTherapy @BuzzFeed @WomanWhoAwards I've not connected with that crew yet.,
buzzfeed,RT @BuzzFeedNews: A Customer Kindly Asked Not To Be Judged For Ordering Three Portions Of Mozzarella Sticks https://t.co/KumVDXbCAP https:/…,https://www.buzzfeed.com/tanyachen/three-mozzarella-sticks-live-free?bftwnews&utm_term=4ldqpgc#4ldqpgc
buzzfeed,"RT @chrissyteigen: i definitely missed some of this. ""get out"" neeeeeeds to be seen twice for real (spoiler alert central!) https://t.co/lK…",
buzzfeed,¡He escapado de la habitación! Pero esto no terminará aquí... https://t.co/4a7DUqQNNU,http://fb.me/Y0h3wpvR
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"@MickNcKee @BuzzFeedNews @BuzzFeed  @dylanfugel ""fuckmook""",
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,RT @PhilipRucker: congrats to @HenryJGomez and to Buzzfeed! A great move for a great reporter. https://t.co/caYdnPN7ZZ,https://twitter.com/HenryJGomez/status/839194049210875904
